measuring PROFILE overhead..done
  seconds  |     gc     |      consed     |    calls    |  sec/call  |  name  
-------------------------------------------------------------------
    13.992 |      0.180 |  19,007,853,184 |  26,115,000 |   0.000001 | LISA::TEST-TOKENS
     3.197 |      0.396 |   2,897,207,488 |  85,425,000 |   0.000000 | LISA::GET-SLOT-VALUE
     3.118 |      0.351 |   3,742,065,536 |  75,525,000 |   0.000000 | LISA::TOKEN-PUSH-FACT
     3.111 |      0.078 |   4,558,736,528 |  23,680,000 |   0.000000 | LISA::FAST-ARRAY-COPY
     2.884 |      0.435 |   3,365,132,624 |  80,825,000 |   0.000000 | LISA::TOKEN-TOP-FACT
     1.907 |      0.068 |   2,870,247,632 |  24,025,000 |   0.000000 | LISA::HASH-KEY
     1.756 |      0.135 |     889,158,432 |  26,115,000 |   0.000000 | LISA::TOKEN-POP-FACT
     0.549 |      0.163 |     755,060,128 |  30,095,000 |   0.000000 | LISA::TOKEN-FIND-FACT
     0.477 |      0.040 |   1,280,827,424 |   3,920,000 |   0.000000 | LISA::ACTIVATION-PRIORITY
     0.437 |      0.073 |   2,603,640,768 |   2,320,000 |   0.000000 | LISA::MAKE-ADD-TOKEN
     0.425 |      0.108 |     731,711,888 |  24,185,000 |   0.000000 | LISA::TOKEN-FACT-COUNT
     0.400 |      0.018 |     748,370,448 |   5,580,052 |   0.000000 | LISA::FIND-INSTANCE-OF-FACT
     0.376 |      0.053 |     211,004,816 |   4,300,000 |   0.000000 | LISA::CLASS-MATCHES-P
     0.340 |      0.162 |     631,494,368 |  23,415,256 |   0.000000 | LISA::NODE1-TEST
     0.301 |      0.115 |     362,254,848 |  22,370,000 |   0.000000 | LISA::TOKEN-HASH-CODE
     0.255 |      0.101 |     804,452,736 |  19,165,000 |   0.000000 | LISA::JOIN-NODE-RIGHT-MEMORY
     0.234 |      0.036 |     309,645,696 |   3,135,000 |   0.000000 | LISA::LOGICAL-BLOCK-P
     0.205 |      0.184 |   1,199,014,928 |  42,215,154 |   0.000000 | LISA::SUCCESSOR-NODE
     0.192 |      0.000 |      60,087,776 |   1,220,106 |   0.000000 | LISA:INFERENCE-ENGINE
     0.164 |      0.113 |     732,670,832 |  20,010,000 |   0.000000 | LISA::JOIN-NODE-LEFT-MEMORY
     0.163 |      0.226 |     694,696,144 |  42,215,000 |   0.000000 | LISA::SUCCESSOR-CONNECTOR
     0.115 |      0.000 |     107,345,936 |     715,000 |   0.000000 | LISA::TOKEN-INCREMENT-NOT-COUNTER
     0.114 |      0.018 |     246,035,232 |     580,000 |   0.000000 | LISA::NEXT-FACT-ID
     0.114 |      0.000 |     288,870,448 |     505,000 |   0.000000 | LISA::TOKEN-MAKE-FACT-LIST
     0.110 |      0.000 |      39,641,200 |   1,280,052 |   0.000000 | LISA::INITIALIZE-SLOT-VALUE
     0.086 |      0.018 |     212,857,200 |     835,000 |   0.000000 | LISA::TOKEN-NEGATED-P
     0.084 |      0.000 |      14,152,320 |     370,000 |   0.000000 | LISA::CLEAR-MEMORIES
     0.077 |      0.000 |         655,696 |   1,280,052 |   0.000000 | (SETF LISA:SLOT-VALUE-OF-INSTANCE)
     0.065 |      0.000 |     238,422,288 |     945,000 |   0.000000 | LISA::ELIGIBLE-P
     0.057 |      0.000 |      40,168,656 |   1,220,106 |   0.000000 | LISA:CURRENT-ENGINE
