
;; (time (lisa-user::run-mab 500))

Evaluation took:
  3.086 seconds of real time
  1.756481 seconds of total run time (1.722465 user, 0.034016 system)
  [ Real times consist of 0.093 seconds GC time, and 2.993 seconds non-GC time. ]
  [ Run times consist of 0.093 seconds GC time, and 1.664 seconds non-GC time. ]
  56.90% CPU
  314 lambdas converted
  2,348,421,120 bytes consed

;; SBCL's deterministic profiler results (500 iterations) on MacOS with Apple
;; silicon (ARM64 M2 Pro):

measuring PROFILE overhead..done
  seconds  |     gc     |     consed     |    calls   |  sec/call  |  name  
-----------------------------------------------------------------
     0.903 |      0.010 |    714,550,096 |  2,611,500 |   0.000000 | LISA::TEST-TOKENS
     0.213 |      0.031 |    515,800,976 |    555,500 |   0.000000 | LISA::COMBINE-TOKENS
     0.203 |      0.053 |    275,089,104 |  8,542,500 |   0.000000 | LISA::GET-SLOT-VALUE
     0.135 |      0.006 |    325,938,496 |  2,402,500 |   0.000000 | LISA::HASH-KEY
     0.084 |      0.012 |    290,281,040 |    344,000 |   0.000000 | LISA::MAKE-REMOVE-TOKEN
     0.041 |      0.004 |     76,341,408 |    392,000 |   0.000000 | LISA::ACTIVATION-PRIORITY
     0.038 |      0.010 |    172,594,816 |    232,000 |   0.000000 | LISA::MAKE-ADD-TOKEN
     0.030 |      0.005 |     60,222,400 |    558,000 |   0.000000 | LISA::FIND-INSTANCE-OF-FACT
     0.026 |      0.006 |     47,572,368 |    430,000 |   0.000000 | LISA::CLASS-MATCHES-P
     0.019 |      0.000 |     18,675,424 |    122,000 |   0.000000 | LISA:INFERENCE-ENGINE
     0.016 |      0.000 |     53,145,104 |    313,500 |   0.000000 | LISA::LOGICAL-BLOCK-P
     0.012 |      0.014 |     82,629,472 |  2,237,000 |   0.000000 | LISA::TOKEN-HASH-CODE
     0.011 |      0.000 |     17,757,648 |     71,500 |   0.000000 | LISA::TOKEN-INCREMENT-NOT-COUNTER
     0.010 |      0.000 |     13,367,120 |     50,500 |   0.000000 | LISA::TOKEN-MAKE-FACT-LIST
     0.009 |      0.000 |     19,070,624 |    128,000 |   0.000000 | LISA::INITIALIZE-SLOT-VALUE
     0.009 |      0.000 |     24,508,960 |     58,000 |   0.000000 | LISA::NEXT-FACT-ID
     0.008 |      0.000 |      4,457,072 |     37,000 |   0.000000 | LISA::CLEAR-MEMORIES
     0.006 |      0.000 |      7,404,400 |     83,500 |   0.000000 | LISA::TOKEN-NEGATED-P
     0.006 |      0.000 |      2,424,304 |    128,000 |   0.000000 | (SETF LISA:SLOT-VALUE-OF-INSTANCE)
     0.005 |      0.000 |     13,237,888 |     94,500 |   0.000000 | LISA::ELIGIBLE-P
     0.005 |      0.004 |      4,717,488 |    221,000 |   0.000000 | LISA::TERMINAL-NODE-RULE
     0.005 |      0.000 |      3,276,032 |    122,000 |   0.000000 | LISA:CURRENT-ENGINE
     0.005 |      0.002 |      5,426,288 |     67,500 |   0.000000 | LISA::MAKE-ACTIVATION
     0.004 |      0.000 |     11,073,936 |     79,500 |   0.000000 | LISA:IN-RULE-FIRING-P
     0.004 |      0.002 |      9,633,264 |    135,000 |   0.000000 | LISA::RULE-ENGINE
     0.004 |      0.000 |     11,532,688 |     67,500 |   0.000000 | LISA:AUTO-FOCUS-P
     0.004 |      0.004 |      9,632,688 |    631,000 |   0.000000 | LISA:FACT-NAME
     0.003 |      0.000 |      6,487,536 |     50,000 |   0.000000 | LISA::FIND-META-OBJECT
     0.003 |      0.006 |     23,262,896 |    558,000 |   0.000000 | LISA::FACT-CLOS-INSTANCE
     0.003 |      0.000 |      5,099,168 |      2,000 |   0.000001 | LISA::MAKE-RESET-TOKEN
     0.002 |      0.000 |      4,587,504 |     21,000 |   0.000000 | LISA::LOGICAL-RULE-P
     0.002 |      0.000 |        131,072 |     15,500 |   0.000000 | LISA::CLEAR-ACTIVATION-BINDINGS
     0.001 |      0.008 |     74,372,192 |  2,418,500 |   0.000000 | LISA::TOKEN-FACT-COUNT
     0.001 |      0.002 |        589,744 |    136,000 |   0.000000 | LISA::HEAP
     0.001 |      0.000 |              0 |      1,000 |   0.000001 | LISA:FIND-CONTEXT
     0.001 |      0.002 |        524,240 |    166,500 |   0.000000 | LISA::RETE-FACT-TABLE
     0.001 |      0.000 |              0 |        500 |   0.000001 | LISA::NEXT-CONTEXT
     0.001 |      0.000 |      6,553,600 |    101,000 |   0.000000 | LISA::BELIEF-FACTOR
     0.000 |      0.002 |      4,259,824 |    151,000 |   0.000000 | LISA:ACTIVE-RULE
     0.000 |      0.000 |              0 |      1,000 |   0.000000 | LISA::FORGET-ALL-FACTS
     0.000 |      0.000 |              0 |        500 |   0.000001 | LISA::HALT-ENGINE
     0.000 |      0.000 |        655,360 |     50,500 |   0.000000 | (SETF LISA::BELIEF-FACTOR)
     0.000 |      0.000 |         65,520 |    108,000 |   0.000000 | LISA::RETE-ROOTS
     0.000 |      0.000 |      2,620,864 |     28,500 |   0.000000 | LISA::GET-CLASS-NAME
     0.000 |      0.000 |      1,966,080 |        500 |   0.000001 | LISA::RESET-ACTIVATIONS
     0.000 |      0.000 |         65,536 |     50,000 |   0.000000 | LISA::RETE-META-DATA
