measuring PROFILE overhead..done
  seconds  |     gc     |     consed    |    calls   |  sec/call  |  name  
----------------------------------------------------------------
     0.829 |      0.016 | 1,169,837,344 |  1,566,900 |   0.000001 | LISA::TEST-TOKENS
     0.203 |      0.029 |   213,706,912 |  4,531,500 |   0.000000 | LISA::TOKEN-PUSH-FACT
     0.179 |      0.002 |   263,622,880 |  1,420,800 |   0.000000 | LISA::FAST-ARRAY-COPY
     0.163 |      0.026 |   185,575,984 |  5,125,500 |   0.000000 | LISA::GET-SLOT-VALUE
     0.149 |      0.036 |   142,001,040 |  4,849,500 |   0.000000 | LISA::TOKEN-TOP-FACT
     0.114 |      0.010 |   187,664,128 |  1,441,500 |   0.000000 | LISA::HASH-KEY
     0.113 |      0.020 |    78,243,520 |  1,566,900 |   0.000000 | LISA::TOKEN-POP-FACT
     0.029 |      0.002 |    24,126,224 |    235,200 |   0.000000 | LISA::ACTIVATION-PRIORITY
     0.027 |      0.008 |    66,576,912 |  1,805,700 |   0.000000 | LISA::TOKEN-FIND-FACT
     0.027 |      0.004 |    40,497,360 |    258,000 |   0.000000 | LISA::CLASS-MATCHES-P
     0.026 |      0.004 |   121,302,992 |    139,200 |   0.000000 | LISA::MAKE-ADD-TOKEN
     0.024 |      0.000 |    31,584,464 |    334,800 |   0.000000 | LISA::FIND-INSTANCE-OF-FACT
     0.019 |      0.000 |    11,860,048 |     73,203 |   0.000000 | LISA:INFERENCE-ENGINE
     0.014 |      0.002 |    23,590,096 |    188,100 |   0.000000 | LISA::LOGICAL-BLOCK-P
     0.014 |      0.012 |    31,126,240 |  1,149,900 |   0.000000 | LISA::JOIN-NODE-RIGHT-MEMORY
     0.013 |      0.006 |    43,314,400 |  1,342,200 |   0.000000 | LISA::TOKEN-HASH-CODE
     0.012 |      0.004 |    50,652,688 |  1,451,100 |   0.000000 | LISA::TOKEN-FACT-COUNT
     0.010 |      0.014 |   108,841,040 |  2,532,900 |   0.000000 | LISA::SUCCESSOR-NODE
     0.010 |      0.002 |    15,530,672 |     42,900 |   0.000000 | LISA::TOKEN-INCREMENT-NOT-COUNTER
     0.010 |      0.002 |    27,260,112 |     76,800 |   0.000000 | LISA::INITIALIZE-SLOT-VALUE
     0.009 |      0.008 |    90,101,536 |  2,532,900 |   0.000000 | LISA::SUCCESSOR-CONNECTOR
     0.008 |      0.004 |    15,725,744 |     56,700 |   0.000000 | LISA::ELIGIBLE-P
     0.008 |      0.008 |    47,242,816 |  1,404,900 |   0.000000 | LISA::NODE1-TEST
     0.006 |      0.000 |     9,283,728 |     30,300 |   0.000000 | LISA::TOKEN-MAKE-FACT-LIST
     0.006 |      0.000 |    15,465,536 |     34,800 |   0.000000 | LISA::NEXT-FACT-ID
     0.006 |      0.000 |        65,536 |     76,800 |   0.000000 | (SETF LISA:SLOT-VALUE-OF-INSTANCE)
     0.005 |      0.000 |           224 |     73,203 |   0.000000 | LISA:CURRENT-ENGINE
     0.005 |      0.000 |    11,598,928 |     50,100 |   0.000000 | LISA::TOKEN-NEGATED-P
     0.005 |      0.000 |        65,536 |     22,200 |   0.000000 | LISA::CLEAR-MEMORIES
     0.003 |      0.000 |     3,800,160 |     30,001 |   0.000000 | LISA::FIND-META-OBJECT
     0.003 |      0.000 |        65,840 |     47,700 |   0.000000 | LISA:IN-RULE-FIRING-P
     0.003 |      0.000 |     3,932,160 |     40,500 |   0.000000 | LISA:AUTO-FOCUS-P
     0.003 |      0.000 |     1,557,568 |      1,200 |   0.000002 | LISA::MAKE-RESET-TOKEN
     0.003 |      0.002 |     3,932,144 |     64,800 |   0.000000 | LISA:RETE-NETWORK
     0.003 |      0.000 |     5,337,376 |     40,500 |   0.000000 | LISA::MAKE-ACTIVATION
     0.003 |      0.003 |     7,927,952 |    378,600 |   0.000000 | LISA:FACT-NAME
     0.002 |      0.002 |     7,796,912 |    240,900 |   0.000000 | LISA::PATTERN-BINDING-P
     0.002 |      0.000 |       131,056 |     81,000 |   0.000000 | LISA::RULE-ENGINE
     0.002 |      0.002 |     3,866,624 |    173,100 |   0.000000 | LISA::RULE-ACTIVATIONS
     0.002 |      0.000 |     3,932,160 |     12,600 |   0.000000 | LISA::LOGICAL-RULE-P
     0.002 |      0.002 |     3,996,736 |     93,000 |   0.000000 | LISA::TOKEN-NOT-COUNTER
     0.002 |      0.000 |     7,863,360 |    188,100 |   0.000000 | LISA::JOIN-NODE-LOGICAL-BLOCK
     0.002 |      0.002 |     7,864,320 |    235,200 |   0.000000 | LISA:RULE-SALIENCE
     0.001 |      0.000 |     4,063,216 |    176,100 |   0.000000 | LISA::FACT-SLOT-TABLE
     0.001 |      0.000 |        65,520 |     60,600 |   0.000000 | LISA::BELIEF-FACTOR
     0.001 |      0.000 |    11,796,480 |    132,600 |   0.000000 | LISA::TERMINAL-NODE-RULE
     0.001 |      0.000 |     3,996,720 |      9,300 |   0.000000 | LISA::CLEAR-ACTIVATION-BINDINGS
     0.001 |      0.000 |             0 |     40,500 |   0.000000 | LISA:RULE-CONTEXT
     0.001 |      0.004 |    15,726,752 |    921,300 |   0.000000 | LISA::SHARED-NODE-SUCCESSORS
     0.001 |      0.000 |     3,800,160 |     64,500 |   0.000000 | LISA:FACT-ID
     0.000 |      0.000 |             0 |     64,800 |   0.000000 | LISA::RETE-ROOTS
