measuring PROFILE overhead..done
  seconds  |     gc     |     consed    |    calls   |  sec/call  |  name  
----------------------------------------------------------------
     0.751 |      0.014 |   982,304,928 |  1,566,900 |   0.000000 | LISA::TEST-TOKENS
     0.383 |      0.037 | 1,646,154,384 |  1,420,800 |   0.000000 | LISA::REPLICATE-TOKEN
     0.163 |      0.031 |   159,498,752 |  5,125,500 |   0.000000 | LISA::GET-SLOT-VALUE
     0.130 |      0.018 |   207,524,960 |  4,849,500 |   0.000000 | LISA::TOKEN-TOP-FACT
     0.120 |      0.005 |    90,036,752 |  1,420,800 |   0.000000 | LISA::FAST-ARRAY-COPY
     0.113 |      0.015 |   180,523,344 |  1,441,500 |   0.000000 | LISA::HASH-KEY
     0.095 |      0.006 |    25,095,568 |  1,566,900 |   0.000000 | LISA::TOKEN-POP-FACT
     0.036 |      0.008 |    12,581,280 |  1,805,700 |   0.000000 | LISA::TOKEN-FIND-FACT
     0.029 |      0.004 |    24,833,488 |    235,200 |   0.000000 | LISA::ACTIVATION-PRIORITY
     0.028 |      0.009 |   110,406,592 |    139,200 |   0.000000 | LISA::MAKE-ADD-TOKEN
     0.023 |      0.004 |    53,202,352 |    258,000 |   0.000000 | LISA::CLASS-MATCHES-P
     0.022 |      0.013 |    74,439,184 |  1,451,100 |   0.000000 | LISA::TOKEN-FACT-COUNT
     0.020 |      0.002 |    26,012,592 |    334,800 |   0.000000 | LISA::FIND-INSTANCE-OF-FACT
     0.017 |      0.000 |     2,556,032 |     73,203 |   0.000000 | LISA:INFERENCE-ENGINE
     0.012 |      0.000 |    21,295,280 |    188,100 |   0.000000 | LISA::LOGICAL-BLOCK-P
     0.012 |      0.010 |    11,925,824 |  1,342,200 |   0.000000 | LISA::TOKEN-HASH-CODE
     0.010 |      0.004 |    22,805,296 |  1,149,900 |   0.000000 | LISA::JOIN-NODE-RIGHT-MEMORY
     0.009 |      0.002 |    18,018,384 |     42,900 |   0.000000 | LISA::TOKEN-INCREMENT-NOT-COUNTER
     0.007 |      0.002 |    16,187,296 |     76,800 |   0.000000 | (SETF LISA:SLOT-VALUE-OF-INSTANCE)
     0.007 |      0.000 |     2,358,784 |     30,300 |   0.000000 | LISA::TOKEN-MAKE-FACT-LIST
     0.006 |      0.014 |    62,581,248 |  2,532,900 |   0.000000 | LISA::SUCCESSOR-CONNECTOR
     0.006 |      0.000 |    18,346,864 |     76,800 |   0.000000 | LISA::INITIALIZE-SLOT-VALUE
     0.005 |      0.000 |       918,016 |     34,800 |   0.000000 | LISA::NEXT-FACT-ID
     0.005 |      0.004 |    37,019,456 |  1,200,600 |   0.000000 | LISA::JOIN-NODE-LEFT-MEMORY
     0.005 |      0.000 |     1,113,952 |     22,200 |   0.000000 | LISA::CLEAR-MEMORIES
     0.004 |      0.000 |       327,680 |     73,203 |   0.000000 | LISA:CURRENT-ENGINE
     0.004 |      0.000 |     1,310,544 |     50,100 |   0.000000 | LISA::TOKEN-NEGATED-P
     0.003 |      0.000 |     1,245,904 |     56,700 |   0.000000 | LISA::ELIGIBLE-P
     0.003 |      0.000 |     1,556,848 |      1,200 |   0.000002 | LISA::MAKE-RESET-TOKEN
     0.003 |      0.000 |       524,208 |     30,001 |   0.000000 | LISA::FIND-META-OBJECT
     0.003 |      0.008 |    88,330,464 |  1,404,900 |   0.000000 | LISA::NODE1-TEST
     0.003 |      0.000 |    15,663,056 |     40,500 |   0.000000 | LISA:AUTO-FOCUS-P
     0.003 |      0.002 |     1,245,152 |    188,100 |   0.000000 | LISA::JOIN-NODE-LOGICAL-BLOCK
     0.002 |      0.000 |     1,376,144 |     47,700 |   0.000000 | LISA:IN-RULE-FIRING-P
     0.002 |      0.002 |       458,672 |     81,600 |   0.000000 | LISA::HEAP
     0.002 |      0.002 |       589,680 |     64,800 |   0.000000 | LISA::RETE-ROOTS
     0.002 |      0.014 |   105,823,536 |  2,532,900 |   0.000000 | LISA::SUCCESSOR-NODE
     0.002 |      0.000 |     4,632,768 |     40,500 |   0.000000 | LISA::MAKE-ACTIVATION
     0.002 |      0.002 |    18,673,760 |    355,500 |   0.000000 | LISA::JOIN-NODE-SUCCESSOR
     0.002 |      0.000 |       720,816 |     81,000 |   0.000000 | LISA::RULE-ENGINE
     0.002 |      0.002 |    16,249,184 |    173,100 |   0.000000 | LISA::RULE-ACTIVATIONS
     0.001 |      0.000 |     1,179,504 |    132,600 |   0.000000 | LISA::TERMINAL-NODE-RULE
     0.001 |      0.000 |       393,136 |     12,600 |   0.000000 | LISA::LOGICAL-RULE-P
     0.001 |      0.000 |    18,018,512 |    378,600 |   0.000000 | LISA:FACT-NAME
     0.001 |      0.000 |       262,080 |     60,600 |   0.000000 | LISA::BELIEF-FACTOR
     0.001 |      0.002 |       589,680 |    117,600 |   0.000000 | LISA::ACTIVATION-TIMESTAMP
     0.001 |      0.000 |       327,680 |      9,300 |   0.000000 | LISA::CLEAR-ACTIVATION-BINDINGS
     0.001 |      0.002 |    17,035,360 |    235,200 |   0.000000 | LISA:RULE-SALIENCE
     0.001 |      0.000 |       851,920 |    176,100 |   0.000000 | LISA::FACT-SLOT-TABLE
     0.000 |      0.000 |             0 |        600 |   0.000001 | LISA:FIND-CONTEXT
     0.000 |      0.000 |     1,179,488 |     64,500 |   0.000000 | LISA:FACT-ID
     0.000 |      0.000 |             0 |     24,300 |   0.000000 | LISA::RULE-BEHAVIOR
     0.000 |      0.000 |       524,288 |     30,003 |   0.000000 | LISA::RETE-META-DATA
     0.000 |      0.000 |       720,832 |     40,500 |   0.000000 | LISA:RULE-CONTEXT
     0.000 |      0.000 |             0 |     17,100 |   0.000000 | LISA::GET-CLASS-NAME
     0.000 |      0.000 |             0 |     21,300 |   0.000000 | LISA::GET-SLOT-LIST
     0.000 |      0.002 |    18,608,160 |    300,000 |   0.000000 | LISA::ACTIVATION-RULE
     0.000 |      0.000 |        65,520 |     30,300 |   0.000000 | (SETF LISA::BELIEF-FACTOR)
     0.000 |      0.000 |             0 |        300 |   0.000001 | LISA::NEXT-CONTEXT
     0.000 |      0.000 |       589,824 |     99,900 |   0.000000 | LISA::RETE-FACT-TABLE
     0.000 |      0.000 |    15,663,104 |     41,100 |   0.000000 | LISA::RETE-HALTED
     0.000 |      0.000 |       327,600 |     40,500 |   0.000000 | LISA::RULE-AUTO-FOCUS
     0.000 |      0.000 |             0 |        300 |   0.000001 | LISA::RESET-ACTIVATIONS
     0.000 |      0.000 |             0 |        600 |   0.000000 | LISA::FORGET-ALL-FACTS
     0.000 |      0.000 |       589,744 |     24,300 |   0.000000 | LISA::ACTIVATION-TOKENS
     0.000 |      0.000 |       327,600 |     12,600 |   0.000000 | LISA::RULE-LOGICAL-MARKER
     0.000 |      0.000 |             0 |        300 |   0.000000 | LISA::HALT-ENGINE
     0.000 |      0.000 |       327,680 |      4,200 |   0.000000 | LISA::FACT-META-DATA
     0.000 |      0.000 |       262,144 |     35,100 |   0.000000 | (SETF LISA::RETE-NEXT-FACT-ID)
     0.000 |      0.000 |       327,600 |        300 |   0.000000 | LISA::STARTING-CONTEXT
     0.000 |      0.000 |             0 |        300 |   0.000000 | LISA::REMOVE-ACTIVATIONS
     0.000 |      0.000 |       655,200 |     16,200 |   0.000000 | (SETF LISA::ACTIVATION-ELIGIBLE)
     0.000 |      0.000 |       786,432 |     65,100 |   0.000000 | LISA::FACT-ID-TABLE
     0.000 |      0.000 |             0 |        600 |   0.000000 | LISA::MAKE-CONTEXT-NAME
     0.000 |      0.000 |             0 |        300 |   0.000000 | LISA::DEFFACTS-FACT-LIST
     0.000 |      0.000 |             0 |        600 |   0.000000 | (SETF LISA::RETE-HALTED)
     0.000 |      0.000 |             0 |          1 |   0.000006 | LISA::ACQUIRE-META-DATA
     0.000 |      0.000 |             0 |          2 |   0.000001 | LISA::REGISTER-META-OBJECT
     0.000 |      0.000 |             0 |        300 |   0.000000 | LISA::RETE-AUTOFACTS
     0.000 |      0.000 |             0 |          2 |   0.000000 | LISA::MAKE-FACT-META-OBJECT
     0.000 |      0.000 |             0 |        300 |   0.000000 | LISA:RESET
     0.000 |      0.000 |       393,216 |     90,600 |   0.000000 | LISA:ACTIVE-RULE
     0.000 |      0.000 |       524,848 |     12,000 |   0.000000 | LISA:RETRACT
     0.000 |      0.000 |       720,736 |     64,800 |   0.000000 | LISA:RETE-NETWORK
     0.000 |      0.000 |             0 |        300 |   0.000000 | LISA:RUN
     0.000 |      0.000 |             0 |     34,800 |   0.000000 | (SETF LISA:FACT-ID)
     0.000 |      0.000 |       851,840 |     56,700 |   0.000000 | LISA::ACTIVATION-ELIGIBLE
