
;; (time (lisa-user::run-mab 500))

Evaluation took:
  3.297 seconds of real time
  1.777990 seconds of total run time (1.749742 user, 0.028248 system)
  [ Real times consist of 0.082 seconds GC time, and 3.215 seconds non-GC time. ]
  [ Run times consist of 0.082 seconds GC time, and 1.696 seconds non-GC time. ]
  53.93% CPU
  314 lambdas converted
  2,348,043,312 bytes consed

;; SBCL's deterministic profiler results (500 iterations) on MacOS with Apple
;; silicon (ARM64 M2 Pro):

measuring PROFILE overhead..done
  seconds  |     gc     |     consed     |    calls   |  sec/call  |  name  
-----------------------------------------------------------------
     1.298 |      0.018 |  1,953,012,352 |  2,611,500 |   0.000000 | LISA::TEST-TOKENS
     0.304 |      0.014 |    444,677,840 |  2,368,000 |   0.000000 | LISA::FAST-ARRAY-COPY
     0.301 |      0.026 |    356,010,432 |  7,552,500 |   0.000000 | LISA::TOKEN-PUSH-FACT
     0.280 |      0.033 |    307,525,104 |  8,542,500 |   0.000000 | LISA::GET-SLOT-VALUE
     0.243 |      0.044 |    237,279,984 |  8,082,500 |   0.000000 | LISA::TOKEN-TOP-FACT
     0.178 |      0.012 |    316,514,400 |  2,402,500 |   0.000000 | LISA::HASH-KEY
     0.172 |      0.014 |    127,783,712 |  2,611,500 |   0.000000 | LISA::TOKEN-POP-FACT
     0.058 |      0.020 |    110,087,968 |  3,009,500 |   0.000000 | LISA::TOKEN-FIND-FACT
     0.045 |      0.008 |    197,392,720 |    232,000 |   0.000000 | LISA::MAKE-ADD-TOKEN
     0.043 |      0.000 |     41,546,352 |    392,000 |   0.000000 | LISA::ACTIVATION-PRIORITY
     0.042 |      0.004 |     54,126,624 |    558,000 |   0.000000 | LISA::FIND-INSTANCE-OF-FACT
     0.036 |      0.002 |     65,661,552 |    430,000 |   0.000000 | LISA::CLASS-MATCHES-P
     0.032 |      0.036 |     77,842,784 |  2,341,500 |   0.000000 | LISA::NODE1-TEST
     0.029 |      0.000 |     19,198,944 |    122,003 |   0.000000 | LISA:INFERENCE-ENGINE
     0.023 |      0.016 |     84,006,288 |  2,418,500 |   0.000000 | LISA::TOKEN-FACT-COUNT
     0.022 |      0.002 |     38,923,600 |    313,500 |   0.000000 | LISA::LOGICAL-BLOCK-P
     0.019 |      0.010 |     71,753,952 |  2,237,000 |   0.000000 | LISA::TOKEN-HASH-CODE
     0.011 |      0.000 |     25,818,928 |     71,500 |   0.000000 | LISA::TOKEN-INCREMENT-NOT-COUNTER
     0.011 |      0.000 |     15,987,040 |     50,500 |   0.000000 | LISA::TOKEN-MAKE-FACT-LIST
     0.011 |      0.000 |     45,280,544 |    128,000 |   0.000000 | LISA::INITIALIZE-SLOT-VALUE
     0.009 |      0.028 |    179,675,680 |  4,221,500 |   0.000000 | LISA::SUCCESSOR-NODE
     0.009 |      0.000 |     24,460,688 |     58,000 |   0.000000 | LISA::NEXT-FACT-ID
     0.008 |      0.000 |        589,728 |    128,000 |   0.000000 | (SETF LISA:SLOT-VALUE-OF-INSTANCE)
     0.008 |      0.020 |    152,222,448 |  4,221,500 |   0.000000 | LISA::SUCCESSOR-CONNECTOR
     0.007 |      0.000 |        327,632 |    122,003 |   0.000000 | LISA:CURRENT-ENGINE
     0.007 |      0.000 |        720,880 |     37,000 |   0.000000 | LISA::CLEAR-MEMORIES
     0.007 |      0.008 |     14,024,480 |    592,500 |   0.000000 | LISA::JOIN-NODE-SUCCESSOR
     0.007 |      0.006 |     53,733,024 |  1,916,500 |   0.000000 | LISA::JOIN-NODE-RIGHT-MEMORY
     0.006 |      0.000 |     18,676,240 |     83,500 |   0.000000 | LISA::TOKEN-NEGATED-P
     0.006 |      0.002 |      7,129,648 |     67,500 |   0.000000 | LISA::MAKE-ACTIVATION
     0.006 |      0.000 |     25,423,296 |     94,500 |   0.000000 | LISA::ELIGIBLE-P
     0.005 |      0.008 |     46,329,056 |  2,001,000 |   0.000000 | LISA::JOIN-NODE-LEFT-MEMORY
     0.005 |      0.000 |      7,077,840 |     67,500 |   0.000000 | LISA:AUTO-FOCUS-P
     0.005 |      0.000 |        458,672 |     79,500 |   0.000000 | LISA:IN-RULE-FIRING-P
     0.004 |      0.000 |      6,355,440 |     50,001 |   0.000000 | LISA::FIND-META-OBJECT
     0.004 |      0.004 |     12,581,328 |    136,000 |   0.000000 | LISA::CONTEXT-STRATEGY
     0.003 |      0.002 |     12,514,336 |    401,500 |   0.000000 | LISA::PATTERN-BINDING-P
     0.003 |      0.002 |         65,536 |     67,500 |   0.000000 | LISA:RULE-CONTEXT
     0.003 |      0.002 |      6,421,280 |    107,500 |   0.000000 | LISA:FACT-ID
     0.003 |      0.002 |     13,236,624 |    313,500 |   0.000000 | LISA::JOIN-NODE-LOGICAL-BLOCK
     0.003 |      0.000 |      1,357,520 |      2,000 |   0.000001 | LISA::MAKE-RESET-TOKEN
     0.003 |      0.000 |     19,791,792 |    221,000 |   0.000000 | LISA::TERMINAL-NODE-RULE
     0.002 |      0.000 |        458,720 |    135,000 |   0.000000 | LISA::RULE-ENGINE
     0.002 |      0.000 |      6,356,976 |     21,000 |   0.000000 | LISA::LOGICAL-RULE-P
     0.002 |      0.002 |      6,029,296 |    108,000 |   0.000000 | LISA:RETE-NETWORK
     0.002 |      0.000 |      6,224,400 |     15,500 |   0.000000 | LISA::CLEAR-ACTIVATION-BINDINGS
     0.001 |      0.000 |              0 |    101,000 |   0.000000 | LISA::BELIEF-FACTOR
     0.001 |      0.002 |      6,355,440 |    155,000 |   0.000000 | LISA::TOKEN-NOT-COUNTER
     0.001 |      0.000 |      6,750,176 |    293,500 |   0.000000 | LISA::FACT-SLOT-TABLE
     0.001 |      0.000 |        196,608 |    108,000 |   0.000000 | LISA::RETE-ROOTS
     0.001 |      0.000 |         65,536 |     50,500 |   0.000000 | (SETF LISA::BELIEF-FACTOR)
     0.001 |      0.000 |         65,536 |     28,500 |   0.000000 | LISA::GET-CLASS-NAME
     0.001 |      0.000 |              0 |      1,000 |   0.000001 | LISA:FIND-CONTEXT
     0.000 |      0.000 |        196,560 |     58,500 |   0.000000 | (SETF LISA::RETE-NEXT-FACT-ID)
     0.000 |      0.000 |              0 |      1,000 |   0.000000 | LISA::FORGET-ALL-FACTS
     0.000 |      0.000 |              0 |    136,000 |   0.000000 | LISA::HEAP
     0.000 |      0.000 |        196,576 |     50,003 |   0.000000 | LISA::RETE-META-DATA
     0.000 |      0.000 |              0 |        500 |   0.000001 | LISA::RESET-ACTIVATIONS
     0.000 |      0.000 |        131,072 |        500 |   0.000000 | LISA::NEXT-CONTEXT
     0.000 |      0.000 |         65,520 |     71,500 |   0.000000 | (SETF LISA::TOKEN-NOT-COUNTER)
     0.000 |      0.000 |              0 |     35,500 |   0.000000 | LISA::GET-SLOT-LIST
     0.000 |      0.000 |        262,128 |     68,500 |   0.000000 | LISA::RETE-HALTED
     0.000 |      0.000 |              0 |      1,000 |   0.000000 | LISA::MAKE-CONTEXT-NAME
     0.000 |      0.000 |              0 |        500 |   0.000000 | LISA::REMOVE-ACTIVATIONS
     0.000 |      0.000 |              0 |        500 |   0.000000 | LISA::HALT-ENGINE
     0.000 |      0.000 |              0 |        500 |   0.000000 | LISA::DEFFACTS-FACT-LIST
     0.000 |      0.000 |              0 |      7,000 |   0.000000 | LISA::FACT-META-DATA
     0.000 |      0.000 |              0 |        500 |   0.000000 | LISA::STARTING-CONTEXT
     0.000 |      0.000 |              0 |      1,500 |   0.000000 | (SETF LISA::RETE-FOCUS-STACK)
     0.000 |      0.000 |        131,056 |     40,500 |   0.000000 | LISA::RULE-BEHAVIOR
     0.000 |      0.000 |              0 |        500 |   0.000000 | LISA::RETE-AUTOFACTS
     0.000 |      0.000 |              0 |      1,500 |   0.000000 | LISA::RETE-FOCUS-STACK
     0.000 |      0.000 |              0 |          1 |   0.000004 | LISA::ACQUIRE-META-DATA
     0.000 |      0.000 |              0 |          2 |   0.000000 | LISA::REGISTER-META-OBJECT
     0.000 |      0.000 |              0 |          2 |   0.000000 | LISA::MAKE-FACT-META-OBJECT
     0.000 |      0.000 |     13,628,336 |    631,000 |   0.000000 | LISA:FACT-NAME
     0.000 |      0.000 |              0 |        500 |   0.000000 | LISA:RESET
     0.000 |      0.000 |        393,120 |    151,000 |   0.000000 | LISA:ACTIVE-RULE
     0.000 |      0.000 |         65,520 |     20,000 |   0.000000 | LISA:RETRACT
     0.000 |      0.000 |              0 |        500 |   0.000000 | LISA:RUN
     0.000 |      0.000 |     12,845,024 |    392,000 |   0.000000 | LISA:RULE-SALIENCE
     0.000 |      0.000 |         65,536 |     58,000 |   0.000000 | (SETF LISA:FACT-ID)
     0.000 |      0.000 |     12,910,592 |    166,500 |   0.000000 | LISA::RETE-FACT-TABLE
     0.000 |      0.000 |              0 |     94,500 |   0.000000 | LISA::ACTIVATION-ELIGIBLE
     0.000 |      0.000 |         65,536 |     27,000 |   0.000000 | (SETF LISA::ACTIVATION-ELIGIBLE)
     0.000 |      0.000 |        393,168 |    108,500 |   0.000000 | LISA::FACT-ID-TABLE
     0.000 |      0.000 |     65,666,768 |    291,500 |   0.000000 | LISA::ADD-TOKENS-TO-LEFT-MEMORY
     0.000 |      0.000 |     12,319,264 |     28,500 |   0.000000 | LISA::FIND-META-FACT
     0.000 |      0.000 |     20,839,200 |     58,000 |   0.000000 | LISA::REMEMBER-FACT
     0.000 |      0.002 |    276,467,472 |    497,000 |   0.000000 | LISA::TEST-AGAINST-RIGHT-MEMORY
     0.000 |      0.000 |     13,303,712 |    196,000 |   0.000000 | LISA::ACTIVATION-TIMESTAMP
     0.000 |      0.000 |      6,750,128 |     67,500 |   0.000000 | LISA::UNBIND-RULE-ACTIVATION
     0.000 |      0.000 |        393,200 |     21,500 |   0.000000 | LISA::ENSURE-META-DATA-EXISTS
     0.000 |      0.000 |         65,520 |     58,000 |   0.000000 | LISA::RETE-NEXT-FACT-ID
     0.000 |      0.000 |     39,250,592 |    128,000 |   0.000000 | LISA::SET-SLOT-VALUE
     0.000 |      0.010 |    137,220,480 |    926,000 |   0.000000 | LISA::FORGET-TOKEN
     0.000 |      0.000 |      6,946,752 |    288,500 |   0.000000 | LISA::RULE-ACTIVATIONS
     0.000 |      0.000 |      7,340,384 |     49,500 |   0.000000 | LISA::RETRACT-FACT
     0.000 |      0.000 |     25,555,952 |     40,500 |   0.000000 | LISA::FIRE-ACTIVATION
     0.000 |      0.000 |    168,404,960 |    618,500 |   0.000000 | LISA::ACCEPT-TOKENS-FROM-LEFT
     0.000 |      0.000 |         65,536 |      1,000 |   0.000000 | LISA::RESET-FOCUS-STACK
     0.000 |      0.000 |      6,225,920 |        500 |   0.000000 | LISA::CLEAR-ACTIVATIONS
     0.000 |      0.000 |      7,470,864 |     29,500 |   0.000000 | LISA::MODIFY-FACT
